inspection_id,order_id,product,plant,inspection_date,batch_size,defects_found,defect_type,inspector_id,passed,defect_rate
INS_00019,ORD_00019,Clutch Kit,Plant_Pune,2024-12-11,814,0,None,INS_EMP_04,1,0.0
INS_00020,ORD_00020,Drive Shaft,Plant_Pune,2023-02-12,1184,36,Assembly Error,INS_EMP_09,0,0.0304
INS_00021,ORD_00021,Control Panel,Plant_Pune,2023-12-10,1102,65,Dimensional,INS_EMP_10,0,0.059
INS_00022,ORD_00022,Brake Assembly,Plant_Ahmedabad,2024-05-09,1656,103,Functional,INS_EMP_09,0,0.0622
INS_00023,ORD_00023,Drive Shaft,Plant_Ahmedabad,2024-03-13,1819,0,None,INS_EMP_01,1,0.0
INS_00024,ORD_00024,Hydraulic Pump,Plant_Ahmedabad,2023-09-21,439,9,Assembly Error,INS_EMP_05,1,0.0205
INS_00025,ORD_00025,Drive Shaft,Plant_Delhi,2024-04-26,1814,39,Assembly Error,INS_EMP_09,1,0.0215
INS_00026,ORD_00026,Gear Box,Plant_Ahmedabad,2024-03-10,1035,0,None,INS_EMP_10,1,0.0
INS_00027,ORD_00027,Wiring Harness,Plant_Pune,2023-10-27,1657,109,Dimensional,INS_EMP_01,0,0.0658
INS_00028,ORD_00028,Drive Shaft,Plant_Delhi,2023-08-15,1236,39,Dimensional,INS_EMP_02,0,0.0316
INS_00029,ORD_00029,Gear Box,Plant_Delhi,2024-06-28,1137,76,Dimensional,INS_EMP_04,1,0.0668
INS_00030,ORD_00030,Clutch Kit,Plant_Delhi,2024-12-22,531,0,None,INS_EMP_03,1,0.0
INS_00031,ORD_00031,Clutch Kit,Plant_Chennai,2024-03-29,1245,92,Surface Finish,INS_EMP_07,0,0.0739
INS_00032,ORD_00032,Drive Shaft,Plant_Ahmedabad,2024-02-17,1425,28,Surface Finish,INS_EMP_08,1,0.0196
INS_00033,ORD_00033,Brake Assembly,Plant_Pune,2023-04-18,1151,44,Dimensional,INS_EMP_03,0,0.0382
INS_00034,ORD_00034,Drive Shaft,Plant_Chennai,2023-06-28,1757,66,Dimensional,INS_EMP_06,0,0.0376
INS_00035,ORD_00035,Hydraulic Pump,Plant_Pune,2023-10-04,1872,86,Assembly Error,INS_EMP_01,0,0.0459
INS_00036,ORD_00036,Brake Assembly,Plant_Ahmedabad,2024-12-27,1796,72,Functional,INS_EMP_05,1,0.0401
INS_00037,ORD_00037,Wiring Harness,Plant_Ahmedabad,2023-01-17,1629,68,Surface Finish,INS_EMP_02,0,0.0417
INS_00038,ORD_00038,Drive Shaft,Plant_Chennai,2023-04-30,1985,82,Assembly Error,INS_EMP_01,0,0.0413
INS_00039,ORD_00039,Sensor Array,Plant_Pune,2023-06-17,311,9,Functional,INS_EMP_01,1,0.0289
INS_00040,ORD_00040,Gear Box,Plant_Pune,2024-01-25,1196,9,Assembly Error,INS_EMP_08,1,0.0075
INS_00041,ORD_00041,Clutch Kit,Plant_Chennai,2024-03-01,417,9,Dimensional,INS_EMP_05,0,0.0216
INS_00042,ORD_00042,Sensor Array,Plant_Chennai,2024-02-26,129,0,None,INS_EMP_09,1,0.0
INS_00043,ORD_00043,Hydraulic Pump,Plant_Chennai,2023-02-18,445,26,Dimensional,INS_EMP_08,0,0.0584
INS_00044,ORD_00044,Gear Box,Plant_Chennai,2024-12-25,1148,35,Dimensional,INS_EMP_02,1,0.0305
INS_00045,ORD_00045,Control Panel,Plant_Delhi,2024-09-18,757,27,Functional,INS_EMP_09,0,0.0357
INS_00046,ORD_00046,Clutch Kit,Plant_Chennai,2023-07-25,140,6,Surface Finish,INS_EMP_10,0,0.0429
INS_00047,ORD_00047,Control Panel,Plant_Chennai,2024-11-24,1326,81,Assembly Error,INS_EMP_07,1,0.0611
INS_00048,ORD_00048,Gear Box,Plant_Chennai,2024-03-13,655,0,None,INS_EMP_07,1,0.0
INS_00049,ORD_00049,Sensor Array,Plant_Ahmedabad,2023-01-13,637,0,None,INS_EMP_09,1,0.0
INS_00050,ORD_00050,Brake Assembly,Plant_Chennai,2024-12-01,1096,0,None,INS_EMP_04,1,0.0
INS_00051,ORD_00051,Clutch Kit,Plant_Pune,2023-12-15,1726,0,None,INS_EMP_07,1,0.0
INS_00052,ORD_00052,PCB Assembly,Plant_Pune,2023-02-27,1023,0,None,INS_EMP_09,1,0.0
INS_00053,ORD_00053,PCB Assembly,Plant_Pune,2024-02-24,352,10,Assembly Error,INS_EMP_09,1,0.0284
INS_00054,ORD_00054,Gear Box,Plant_Ahmedabad,2024-04-24,1191,0,None,INS_EMP_05,1,0.0
INS_00055,ORD_00055,PCB Assembly,Plant_Ahmedabad,2024-09-14,1995,84,Dimensional,INS_EMP_06,1,0.0421
INS_00056,ORD_00056,Wiring Harness,Plant_Pune,2024-04-16,1589,103,Functional,INS_EMP_01,0,0.0648
INS_00057,ORD_00057,Brake Assembly,Plant_Pune,2023-04-15,635,40,Dimensional,INS_EMP_03,0,0.063
INS_00058,ORD_00058,Sensor Array,Plant_Ahmedabad,2024-02-22,362,28,Dimensional,INS_EMP_08,1,0.0773
INS_00059,ORD_00059,Suspension Unit,Plant_Ahmedabad,2023-08-29,910,49,Surface Finish,INS_EMP_01,1,0.0538
INS_00060,ORD_00060,Control Panel,Plant_Pune,2024-01-08,1593,10,Dimensional,INS_EMP_08,0,0.0063
INS_00061,ORD_00061,Gear Box,Plant_Ahmedabad,2023-10-23,1044,8,Assembly Error,INS_EMP_04,1,0.0077
INS_00062,ORD_00062,Brake Assembly,Plant_Ahmedabad,2024-07-03,1907,108,Surface Finish,INS_EMP_06,0,0.0566
INS_00063,ORD_00063,Sensor Array,Plant_Ahmedabad,2023-07-10,582,46,Assembly Error,INS_EMP_03,0,0.079
INS_00064,ORD_00064,Sensor Array,Plant_Pune,2023-10-15,217,0,None,INS_EMP_10,1,0.0
INS_00065,ORD_00065,Gear Box,Plant_Ahmedabad,2023-02-11,458,21,Functional,INS_EMP_06,0,0.0459
INS_00066,ORD_00066,Suspension Unit,Plant_Delhi,2023-08-29,1482,63,Assembly Error,INS_EMP_01,0,0.0425
INS_00067,ORD_00067,PCB Assembly,Plant_Pune,2023-05-12,102,5,Dimensional,INS_EMP_03,1,0.049
INS_00068,ORD_00068,Suspension Unit,Plant_Delhi,2025-01-06,1334,0,None,INS_EMP_10,1,0.0
INS_00069,ORD_00069,Drive Shaft,Plant_Ahmedabad,2024-01-11,927,23,Functional,INS_EMP_01,1,0.0248
INS_00070,ORD_00070,PCB Assembly,Plant_Pune,2024-04-02,1351,49,Assembly Error,INS_EMP_05,1,0.0363
INS_00071,ORD_00071,Suspension Unit,Plant_Chennai,2024-10-20,1933,128,Assembly Error,INS_EMP_07,0,0.0662
INS_00072,ORD_00072,Suspension Unit,Plant_Ahmedabad,2023-04-10,1855,112,Functional,INS_EMP_05,0,0.0604
INS_00073,ORD_00073,Sensor Array,Plant_Chennai,2024-06-20,715,53,Dimensional,INS_EMP_05,1,0.0741
INS_00074,ORD_00074,Wiring Harness,Plant_Pune,2024-07-26,1108,47,Assembly Error,INS_EMP_08,1,0.0424
INS_00075,ORD_00075,Hydraulic Pump,Plant_Chennai,2024-05-01,85,5,Functional,INS_EMP_01,1,0.0588
INS_00076,ORD_00076,Wiring Harness,Plant_Chennai,2024-07-11,921,41,Functional,INS_EMP_04,0,0.0445
INS_00077,ORD_00077,Gear Box,Plant_Pune,2023-08-31,1527,0,None,INS_EMP_10,1,0.0
INS_00078,ORD_00078,Brake Assembly,Plant_Pune,2023-11-06,1257,55,Dimensional,INS_EMP_03,0,0.0438
INS_00079,ORD_00079,Drive Shaft,Plant_Delhi,2024-01-13,669,17,Functional,INS_EMP_07,1,0.0254
INS_00080,ORD_00080,Suspension Unit,Plant_Chennai,2024-12-22,1356,82,Surface Finish,INS_EMP_03,1,0.0605
INS_00081,ORD_00081,Brake Assembly,Plant_Delhi,2024-04-09,427,19,Functional,INS_EMP_01,0,0.0445
INS_00082,ORD_00082,Hydraulic Pump,Plant_Delhi,2023-04-07,1339,81,Assembly Error,INS_EMP_06,1,0.0605
INS_00083,ORD_00083,Control Panel,Plant_Ahmedabad,2024-08-21,902,7,Surface Finish,INS_EMP_01,1,0.0078
INS_00084,ORD_00084,Drive Shaft,Plant_Delhi,2023-12-01,1255,24,Surface Finish,INS_EMP_02,0,0.0191
INS_00085,ORD_00085,Gear Box,Plant_Delhi,2023-10-22,216,10,Surface Finish,INS_EMP_03,1,0.0463
INS_00086,ORD_00086,Wiring Harness,Plant_Delhi,2024-12-28,1012,62,Assembly Error,INS_EMP_08,1,0.0613
INS_00087,ORD_00087,Control Panel,Plant_Pune,2024-10-23,1404,18,Assembly Error,INS_EMP_06,0,0.0128
INS_00088,ORD_00088,Hydraulic Pump,Plant_Ahmedabad,2023-05-31,172,1,Assembly Error,INS_EMP_02,0,0.0058
INS_00089,ORD_00089,Wiring Harness,Plant_Ahmedabad,2024-12-18,1483,36,Surface Finish,INS_EMP_02,0,0.0243
INS_00090,ORD_00090,Clutch Kit,Plant_Delhi,2023-02-26,1554,117,Functional,INS_EMP_09,1,0.0753
INS_00091,ORD_00091,Hydraulic Pump,Plant_Pune,2023-03-10,1598,0,None,INS_EMP_09,1,0.0
INS_00092,ORD_00092,Sensor Array,Plant_Chennai,2024-11-10,1057,8,Assembly Error,INS_EMP_01,0,0.0076
INS_00093,ORD_00093,Control Panel,Plant_Delhi,2023-12-20,1470,61,Dimensional,INS_EMP_10,1,0.0415
INS_00094,ORD_00094,Drive Shaft,Plant_Ahmedabad,2023-11-30,712,46,Assembly Error,INS_EMP_08,0,0.0646
INS_00095,ORD_00095,Drive Shaft,Plant_Pune,2023-07-31,790,56,Surface Finish,INS_EMP_02,0,0.0709
INS_00096,ORD_00096,Suspension Unit,Plant_Pune,2023-05-27,947,0,None,INS_EMP_10,1,0.0
INS_00097,ORD_00097,Wiring Harness,Plant_Delhi,2024-07-21,1181,57,Functional,INS_EMP_01,1,0.0483
INS_00098,ORD_00098,Clutch Kit,Plant_Ahmedabad,2023-11-14,1494,18,Assembly Error,INS_EMP_07,1,0.012
INS_00099,ORD_00099,Brake Assembly,Plant_Chennai,2024-02-06,1937,109,Surface Finish,INS_EMP_02,0,0.0563
INS_00100,ORD_00100,Suspension Unit,Plant_Ahmedabad,2024-06-14,1730,43,Dimensional,INS_EMP_01,0,0.0249
INS_00101,ORD_00101,Wiring Harness,Plant_Chennai,2024-07-23,756,0,None,INS_EMP_05,1,0.0
INS_00102,ORD_00102,Wiring Harness,Plant_Ahmedabad,2024-08-23,528,31,Surface Finish,INS_EMP_06,0,0.0587
INS_00103,ORD_00103,Wiring Harness,Plant_Delhi,2024-05-26,308,12,Assembly Error,INS_EMP_10,1,0.039
INS_00104,ORD_00104,Brake Assembly,Plant_Ahmedabad,2023-02-11,345,0,None,INS_EMP_01,1,0.0
INS_00105,ORD_00105,PCB Assembly,Plant_Chennai,2024-10-25,864,45,Assembly Error,INS_EMP_03,1,0.0521
INS_00106,ORD_00106,Clutch Kit,Plant_Delhi,2023-02-28,190,9,Functional,INS_EMP_03,1,0.0474
INS_00107,ORD_00107,Drive Shaft,Plant_Delhi,2024-11-04,1837,32,Surface Finish,INS_EMP_09,0,0.0174
INS_00108,ORD_00108,Suspension Unit,Plant_Pune,2023-11-11,817,0,None,INS_EMP_06,1,0.0
INS_00109,ORD_00109,Suspension Unit,Plant_Pune,2023-04-13,1833,93,Functional,INS_EMP_05,0,0.0507
INS_00110,ORD_00110,Hydraulic Pump,Plant_Pune,2024-10-26,991,55,Dimensional,INS_EMP_05,1,0.0555
INS_00111,ORD_00111,Wiring Harness,Plant_Chennai,2024-01-10,662,19,Functional,INS_EMP_08,1,0.0287
INS_00112,ORD_00112,Hydraulic Pump,Plant_Delhi,2024-05-15,535,13,Surface Finish,INS_EMP_02,0,0.0243
INS_00113,ORD_00113,Suspension Unit,Plant_Ahmedabad,2023-01-30,1821,50,Surface Finish,INS_EMP_03,1,0.0275
INS_00114,ORD_00114,Gear Box,Plant_Delhi,2024-10-11,771,50,Functional,INS_EMP_09,1,0.0649
INS_00115,ORD_00115,Sensor Array,Plant_Ahmedabad,2024-03-31,1236,0,None,INS_EMP_02,1,0.0
INS_00116,ORD_00116,Hydraulic Pump,Plant_Pune,2023-06-13,1154,57,Assembly Error,INS_EMP_07,0,0.0494
INS_00117,ORD_00117,Gear Box,Plant_Pune,2023-11-25,1832,76,Surface Finish,INS_EMP_03,1,0.0415
INS_00118,ORD_00118,Wiring Harness,Plant_Chennai,2024-01-15,1669,8,Surface Finish,INS_EMP_04,1,0.0048
INS_00119,ORD_00119,Wiring Harness,Plant_Delhi,2024-02-24,1357,105,Surface Finish,INS_EMP_02,1,0.0774
INS_00120,ORD_00120,Hydraulic Pump,Plant_Ahmedabad,2023-12-24,503,1,Functional,INS_EMP_09,0,0.002
INS_00121,ORD_00121,Control Panel,Plant_Pune,2023-02-20,673,39,Dimensional,INS_EMP_07,0,0.0579
INS_00122,ORD_00122,Suspension Unit,Plant_Pune,2024-02-08,1994,66,Dimensional,INS_EMP_06,0,0.0331
INS_00123,ORD_00123,Clutch Kit,Plant_Ahmedabad,2024-06-07,885,50,Dimensional,INS_EMP_10,0,0.0565
INS_00124,ORD_00124,Drive Shaft,Plant_Ahmedabad,2024-01-13,1454,93,Functional,INS_EMP_09,0,0.064
INS_00125,ORD_00125,Drive Shaft,Plant_Delhi,2023-06-05,1737,59,Functional,INS_EMP_06,0,0.034
INS_00126,ORD_00126,Clutch Kit,Plant_Pune,2023-06-06,1206,2,Functional,INS_EMP_01,0,0.0017
INS_00127,ORD_00127,Gear Box,Plant_Chennai,2023-06-29,1894,0,None,INS_EMP_02,1,0.0
INS_00128,ORD_00128,Suspension Unit,Plant_Chennai,2024-12-07,102,8,Assembly Error,INS_EMP_08,1,0.0784
INS_00129,ORD_00129,Wiring Harness,Plant_Ahmedabad,2023-10-03,309,0,None,INS_EMP_02,1,0.0
INS_00130,ORD_00130,Control Panel,Plant_Chennai,2024-09-05,975,45,Assembly Error,INS_EMP_03,1,0.0462
INS_00131,ORD_00131,Wiring Harness,Plant_Delhi,2023-03-22,1785,66,Functional,INS_EMP_06,1,0.037
INS_00132,ORD_00132,Control Panel,Plant_Chennai,2024-09-21,184,7,Functional,INS_EMP_01,0,0.038
INS_00133,ORD_00133,Control Panel,Plant_Pune,2024-07-09,979,0,None,INS_EMP_06,1,0.0
INS_00134,ORD_00134,Sensor Array,Plant_Ahmedabad,2023-09-07,744,31,Dimensional,INS_EMP_10,0,0.0417
INS_00135,ORD_00135,Brake Assembly,Plant_Ahmedabad,2024-01-26,1456,91,Assembly Error,INS_EMP_09,0,0.0625
INS_00136,ORD_00136,Brake Assembly,Plant_Ahmedabad,2023-06-03,172,11,Dimensional,INS_EMP_06,0,0.064
INS_00137,ORD_00137,Clutch Kit,Plant_Pune,2023-03-06,1279,0,None,INS_EMP_02,1,0.0
INS_00138,ORD_00138,Suspension Unit,Plant_Pune,2023-05-05,1781,138,Surface Finish,INS_EMP_08,1,0.0775
INS_00139,ORD_00139,Drive Shaft,Plant_Pune,2024-10-20,1432,0,None,INS_EMP_07,1,0.0
INS_00140,ORD_00140,Brake Assembly,Plant_Pune,2023-12-28,62,0,None,INS_EMP_10,1,0.0
INS_00141,ORD_00141,Hydraulic Pump,Plant_Chennai,2024-07-06,820,0,None,INS_EMP_07,1,0.0
INS_00142,ORD_00142,Hydraulic Pump,Plant_Ahmedabad,2023-04-01,368,0,None,INS_EMP_09,1,0.0
INS_00143,ORD_00143,Sensor Array,Plant_Ahmedabad,2024-09-30,898,0,None,INS_EMP_03,1,0.0
INS_00144,ORD_00144,Clutch Kit,Plant_Ahmedabad,2024-12-19,1264,0,None,INS_EMP_01,1,0.0
INS_00145,ORD_00145,Hydraulic Pump,Plant_Chennai,2023-01-17,667,21,Functional,INS_EMP_08,0,0.0315
INS_00146,ORD_00146,Control Panel,Plant_Chennai,2024-06-19,931,14,Assembly Error,INS_EMP_05,1,0.015
INS_00147,ORD_00147,Suspension Unit,Plant_Ahmedabad,2023-03-01,88,3,Surface Finish,INS_EMP_07,0,0.0341
INS_00148,ORD_00148,Gear Box,Plant_Ahmedabad,2025-01-19,905,12,Dimensional,INS_EMP_10,1,0.0133
INS_00149,ORD_00149,Brake Assembly,Plant_Ahmedabad,2024-04-22,266,6,Functional,INS_EMP_05,0,0.0226
INS_00150,ORD_00150,Control Panel,Plant_Pune,2023-08-28,1645,58,Surface Finish,INS_EMP_10,1,0.0353
INS_00151,ORD_00151,Gear Box,Plant_Pune,2024-11-20,352,17,Surface Finish,INS_EMP_04,0,0.0483
INS_00152,ORD_00152,Suspension Unit,Plant_Chennai,2024-10-23,1000,0,None,INS_EMP_02,1,0.0
INS_00153,ORD_00153,Suspension Unit,Plant_Delhi,2024-03-31,1010,15,Surface Finish,INS_EMP_09,1,0.0149
INS_00154,ORD_00154,Brake Assembly,Plant_Delhi,2023-03-29,995,51,Dimensional,INS_EMP_03,0,0.0513
INS_00155,ORD_00155,Wiring Harness,Plant_Pune,2024-06-18,997,67,Surface Finish,INS_EMP_09,0,0.0672
INS_00156,ORD_00156,Brake Assembly,Plant_Pune,2024-05-21,358,0,None,INS_EMP_09,1,0.0
INS_00157,ORD_00157,Sensor Array,Plant_Chennai,2025-01-11,949,22,Surface Finish,INS_EMP_03,0,0.0232
INS_00158,ORD_00158,Brake Assembly,Plant_Chennai,2024-01-06,1274,15,Dimensional,INS_EMP_01,0,0.0118
INS_00159,ORD_00159,Gear Box,Plant_Chennai,2024-12-10,631,12,Surface Finish,INS_EMP_01,0,0.019
INS_00160,ORD_00160,Gear Box,Plant_Delhi,2024-11-17,1927,134,Dimensional,INS_EMP_07,1,0.0695
INS_00161,ORD_00161,Brake Assembly,Plant_Ahmedabad,2024-02-13,1671,98,Assembly Error,INS_EMP_02,0,0.0586
INS_00162,ORD_00162,Clutch Kit,Plant_Pune,2023-02-02,682,33,Dimensional,INS_EMP_10,1,0.0484
INS_00163,ORD_00163,Control Panel,Plant_Delhi,2023-04-02,1779,32,Assembly Error,INS_EMP_01,0,0.018
INS_00164,ORD_00164,Gear Box,Plant_Ahmedabad,2023-06-06,821,25,Functional,INS_EMP_06,1,0.0305
INS_00165,ORD_00165,Wiring Harness,Plant_Pune,2024-02-02,1523,37,Dimensional,INS_EMP_01,0,0.0243
INS_00166,ORD_00166,Suspension Unit,Plant_Ahmedabad,2023-12-11,1656,0,None,INS_EMP_05,1,0.0
INS_00167,ORD_00167,Suspension Unit,Plant_Pune,2024-02-15,1130,84,Functional,INS_EMP_04,0,0.0743
INS_00168,ORD_00168,Brake Assembly,Plant_Chennai,2024-11-05,1840,0,None,INS_EMP_09,1,0.0
INS_00169,ORD_00169,Clutch Kit,Plant_Ahmedabad,2023-10-24,1904,124,Dimensional,INS_EMP_05,1,0.0651
INS_00170,ORD_00170,Sensor Array,Plant_Pune,2024-03-04,861,0,None,INS_EMP_03,1,0.0
INS_00171,ORD_00171,Drive Shaft,Plant_Chennai,2023-05-11,1513,41,Surface Finish,INS_EMP_05,1,0.0271
INS_00172,ORD_00172,Hydraulic Pump,Plant_Pune,2025-01-10,968,0,None,INS_EMP_06,1,0.0
INS_00173,ORD_00173,Brake Assembly,Plant_Delhi,2024-10-04,916,5,Dimensional,INS_EMP_01,0,0.0055
INS_00174,ORD_00174,Suspension Unit,Plant_Delhi,2024-11-13,1325,59,Dimensional,INS_EMP_07,0,0.0445
INS_00175,ORD_00175,Clutch Kit,Plant_Ahmedabad,2023-09-30,344,12,Dimensional,INS_EMP_05,1,0.0349
INS_00176,ORD_00176,Control Panel,Plant_Delhi,2024-07-04,188,0,None,INS_EMP_07,1,0.0
INS_00177,ORD_00177,Sensor Array,Plant_Delhi,2023-03-09,842,10,Assembly Error,INS_EMP_06,0,0.0119
INS_00178,ORD_00178,Gear Box,Plant_Delhi,2024-11-26,262,14,Dimensional,INS_EMP_07,1,0.0534
INS_00179,ORD_00179,Wiring Harness,Plant_Pune,2024-01-11,1366,35,Assembly Error,INS_EMP_02,0,0.0256
INS_00180,ORD_00180,Sensor Array,Plant_Chennai,2024-04-17,650,42,Dimensional,INS_EMP_07,1,0.0646
INS_00181,ORD_00181,Sensor Array,Plant_Delhi,2024-07-28,568,6,Functional,INS_EMP_02,0,0.0106
INS_00182,ORD_00182,PCB Assembly,Plant_Chennai,2023-06-05,803,1,Functional,INS_EMP_08,1,0.0012
INS_00183,ORD_00183,PCB Assembly,Plant_Delhi,2024-12-27,802,52,Dimensional,INS_EMP_10,1,0.0648
INS_00184,ORD_00184,Hydraulic Pump,Plant_Ahmedabad,2023-07-24,651,0,None,INS_EMP_08,1,0.0
INS_00185,ORD_00185,Suspension Unit,Plant_Ahmedabad,2023-07-15,959,67,Dimensional,INS_EMP_10,0,0.0699
INS_00186,ORD_00186,Drive Shaft,Plant_Pune,2023-04-11,1355,99,Functional,INS_EMP_09,0,0.0731
INS_00187,ORD_00187,PCB Assembly,Plant_Delhi,2023-02-12,187,7,Assembly Error,INS_EMP_09,0,0.0374
INS_00188,ORD_00188,Suspension Unit,Plant_Pune,2024-12-13,1993,142,Functional,INS_EMP_03,1,0.0712
INS_00189,ORD_00189,Gear Box,Plant_Ahmedabad,2024-02-25,1380,0,None,INS_EMP_10,1,0.0
INS_00190,ORD_00190,Suspension Unit,Plant_Chennai,2024-08-04,586,0,None,INS_EMP_10,1,0.0
INS_00191,ORD_00191,Brake Assembly,Plant_Chennai,2023-05-13,1796,41,Assembly Error,INS_EMP_07,1,0.0228
INS_00192,ORD_00192,Sensor Array,Plant_Pune,2024-08-06,644,34,Dimensional,INS_EMP_04,1,0.0528
INS_00193,ORD_00193,Sensor Array,Plant_Ahmedabad,2023-06-02,1668,0,None,INS_EMP_09,1,0.0
INS_00194,ORD_00194,Control Panel,Plant_Ahmedabad,2024-09-23,184,0,None,INS_EMP_10,1,0.0
INS_00195,ORD_00195,Sensor Array,Plant_Pune,2023-03-24,699,31,Dimensional,INS_EMP_09,1,0.0443
INS_00196,ORD_00196,Brake Assembly,Plant_Pune,2023-08-02,314,0,None,INS_EMP_02,1,0.0
INS_00197,ORD_00197,Hydraulic Pump,Plant_Delhi,2023-06-28,1964,8,Functional,INS_EMP_06,1,0.0041
INS_00198,ORD_00198,Brake Assembly,Plant_Pune,2024-11-01,612,24,Surface Finish,INS_EMP_08,0,0.0392
INS_00199,ORD_00199,Suspension Unit,Plant_Delhi,2023-06-15,1399,0,None,INS_EMP_08,1,0.0
INS_00200,ORD_00200,PCB Assembly,Plant_Delhi,2023-03-11,1629,6,Assembly Error,INS_EMP_10,0,0.0037
INS_00201,ORD_00201,Hydraulic Pump,Plant_Ahmedabad,2023-11-16,668,2,Surface Finish,INS_EMP_02,0,0.003
INS_00202,ORD_00202,Gear Box,Plant_Chennai,2023-06-28,901,46,Assembly Error,INS_EMP_08,0,0.0511
INS_00203,ORD_00203,Clutch Kit,Plant_Ahmedabad,2024-02-20,1607,4,Assembly Error,INS_EMP_05,0,0.0025
INS_00204,ORD_00204,Suspension Unit,Plant_Ahmedabad,2024-04-15,338,0,None,INS_EMP_01,1,0.0
INS_00205,ORD_00205,Control Panel,Plant_Ahmedabad,2023-12-23,1526,0,None,INS_EMP_06,1,0.0
INS_00206,ORD_00206,Clutch Kit,Plant_Chennai,2024-05-27,234,3,Surface Finish,INS_EMP_08,1,0.0128
INS_00207,ORD_00207,Hydraulic Pump,Plant_Delhi,2023-11-03,1273,66,Functional,INS_EMP_06,0,0.0518
INS_00208,ORD_00208,PCB Assembly,Plant_Delhi,2023-05-29,1539,63,Assembly Error,INS_EMP_08,1,0.0409
INS_00209,ORD_00209,Control Panel,Plant_Chennai,2023-08-02,1183,86,Dimensional,INS_EMP_03,1,0.0727
INS_00210,ORD_00210,Control Panel,Plant_Chennai,2023-05-09,248,13,Functional,INS_EMP_10,0,0.0524
INS_00211,ORD_00211,Sensor Array,Plant_Ahmedabad,2024-09-27,872,13,Dimensional,INS_EMP_09,0,0.0149
INS_00212,ORD_00212,Sensor Array,Plant_Pune,2023-06-24,1879,24,Functional,INS_EMP_10,1,0.0128
INS_00213,ORD_00213,Suspension Unit,Plant_Chennai,2023-11-24,738,28,Surface Finish,INS_EMP_05,0,0.0379
INS_00214,ORD_00214,Drive Shaft,Plant_Ahmedabad,2024-01-26,1429,19,Surface Finish,INS_EMP_10,1,0.0133
INS_00215,ORD_00215,Suspension Unit,Plant_Ahmedabad,2024-08-24,1527,66,Functional,INS_EMP_10,0,0.0432
INS_00216,ORD_00216,Sensor Array,Plant_Ahmedabad,2023-02-23,1991,14,Assembly Error,INS_EMP_05,1,0.007
INS_00217,ORD_00217,Drive Shaft,Plant_Pune,2024-12-17,890,17,Functional,INS_EMP_02,1,0.0191
INS_00218,ORD_00218,Wiring Harness,Plant_Chennai,2024-08-10,1406,48,Functional,INS_EMP_08,0,0.0341
INS_00219,ORD_00219,Suspension Unit,Plant_Ahmedabad,2024-12-20,1826,112,Functional,INS_EMP_09,0,0.0613
INS_00220,ORD_00220,Hydraulic Pump,Plant_Pune,2023-11-02,661,37,Dimensional,INS_EMP_03,0,0.056
INS_00221,ORD_00221,Hydraulic Pump,Plant_Delhi,2024-05-20,1197,64,Functional,INS_EMP_01,0,0.0535
INS_00222,ORD_00222,Hydraulic Pump,Plant_Delhi,2024-02-08,1726,17,Dimensional,INS_EMP_07,0,0.0098
